Country,Total Universities
Argentina,3
Australia,25
Austria,11
Belgium,9
Brazil,20
Bulgaria,1
Canada,28
Chile,4
China,108
Colombia,3
Croatia,2
Cyprus,1
Czech Republic,5
Denmark,5
Egypt,4
Estonia,1
Finland,9
France,58
Germany,54
Greece,6
Hong Kong,6
Hungary,6
Iceland,1
India,17
Iran,12
Ireland,7
Israel,7
Italy,45
Japan,56
Lebanon,1
Lithuania,1
Macau,1
Malaysia,5
Mexico,4
Netherlands,13
New Zealand,5
Nigeria,1
Norway,5
Pakistan,3
Poland,10
Portugal,6
Romania,3
Russia,5
Saudi Arabia,4
Serbia,1
Singapore,2
Slovak Republic,1
Slovenia,2
South Africa,7
South Korea,35
Spain,38
Sweden,12
Switzerland,9
Taiwan,17
Thailand,4
Tunisia,1
Turkey,13
USA,213
Uganda,1
United Kingdom,62
Uruguay,1
