World Rank,Institution Name,Location,Score,Domain
1,Harvard University,USA,100,harvard.edu
2,Stanford University,USA,96.7,stanford.edu
3,Massachusetts Institute of Technology,USA,95.1,mit.edu
4,University of Cambridge,United Kingdom,94.0,cam.ac.uk
5,University of Oxford,United Kingdom,93.2,ox.ac.uk
6,"University of California, Berkeley",USA,92.5,berkeley.edu
7,Princeton University,USA,91.9,princeton.edu
8,Columbia University,USA,91.4,columbia.edu
9,California Institute of Technology,USA,91.0,caltech.edu
10,University of Chicago,USA,90.6,uchicago.edu
11,Yale University,USA,90.3,yale.edu
12,University of Tokyo,Japan,90.0,u-tokyo.ac.jp
13,University of Pennsylvania,USA,89.7,upenn.edu
14,Cornell University,USA,89.4,cornell.edu
15,"University of California, Los Angeles",USA,89.1,ucla.edu
16,Johns Hopkins University,USA,88.9,jhu.edu
17,University of Toronto,Canada,88.7,utoronto.ca
18,"University of Michigan, Ann Arbor",USA,88.4,umich.edu
19,University of Washington - Seattle,USA,88.2,washington.edu
20,"University of California, San Diego",USA,88.0,ucsd.edu
21,University College London,United Kingdom,87.8,ucl.ac.uk
22,"University of California, San Francisco",USA,87.7,ucsf.edu
23,Northwestern University,USA,87.5,northwestern.edu
24,Duke University,USA,87.3,duke.edu
25,New York University,USA,87.2,nyu.edu
26,Kyoto University,Japan,87.0,kyoto-u.ac.jp
27,University of Wisconsin–Madison,USA,86.9,wisc.edu
28,ETH Zurich,Switzerland,86.7,ethz.ch
29,Sorbonne University,France,86.6,sorbonne-universite.fr
30,Imperial College London,United Kingdom,86.5,imperial.ac.uk
31,University of Texas at Austin,USA,86.3,utexas.edu
32,University of Illinois at Urbana–Champaign,USA,86.2,illinois.edu
33,University of North Carolina at Chapel Hill,USA,86.1,unc.edu
34,University of Edinburgh,United Kingdom,86.0,ed.ac.uk
35,University of Minnesota Twin Cities,USA,85.9,twin-cities.umn.edu
36,Washington University in St. Louis,USA,85.8,wustl.edu
37,McGill University,Canada,85.6,mcgill.ca
38,University of British Columbia,Canada,85.5,ubc.ca
39,University of Copenhagen,Denmark,85.4,ku.dk
40,Ohio State University,USA,85.3,osu.edu
41,Rutgers University-New Brunswick,USA,85.2,newbrunswick.rutgers.edu
42,"University of California, Davis",USA,85.1,ucdavis.edu
43,Pennsylvania State University,USA,85.0,psu.edu
44,University of Manchester,United Kingdom,85.0,manchester.ac.uk
